CB_id,Buildings,Elevation,Slope,Commuting,Area,lat,lng,Imperv,Footprint,BLDperArea,FTPperArea,Cluster
402,11977,21.40474794,2.855383,5169.833333,13.003271,40.74163333,-73.90558333,87.25578381,0.028106,921.0759354,0.002161456,5
403,19295,22.12670009,2.325246,6081,7.755223,40.75201667,-73.88056667,89.08632102,0.022015,2488.000667,0.002838732,4
404,14628,19.96205395,3.032262,7043.333333,6.107474,40.7387,-73.87131667,86.38782443,0.014447,2395.098203,0.002365462,4
405,41179,33.33111887,2.996892,7519.222222,19.546562,40.71118889,-73.88912222,85.57143195,0.039991,2106.713191,0.002045935,4
406,14500,24.40958884,2.883305,7459.25,7.683349,40.7240375,-73.857075,83.73360711,0.025574,1887.197887,0.003328496,4
407,48801,21.34910485,2.923677,7420.555556,30.499265,40.76135556,-73.81708889,77.7196918,0.055127,1600.071346,0.001807486,3
408,30137,30.82623011,3.528896,7339.2,19.282951,40.73086,-73.79677,77.19317331,0.027426,1562.883191,0.001422293,3
409,29195,21.58854313,1.57397,6981.727273,9.975866,40.69774545,-73.84295455,84.22541369,0.021296,2926.562967,0.002134752,4
410,37048,13.92352758,0.821071,6998.25,15.986608,40.679,-73.8321875,82.87584955,0.024242,2317.439697,0.001516394,1
411,39509,33.81289058,3.122171,6004.727273,24.188702,40.75729091,-73.762,67.08291221,0.038051,1633.365858,0.00157309,3
412,58936,17.00944438,1.141754,7195.166667,24.836171,40.700675,-73.76714167,73.97478423,0.037944,2372.990587,0.001527772,1
413,70547,24.39742853,1.153916,6646,32.560095,40.70970833,-73.74190833,69.21761826,0.043592,2166.670583,0.001338817,1
414,20679,8.178419994,0.7819,4601.8,18.169603,40.5889,-73.8296,66.21368326,0.020032,1138.109622,0.001102501,1
501,48886,32.27245322,5.60061,8824.428571,35.046008,40.61702857,-74.12167143,61.72456634,0.074139,1394.909229,0.002115476,3
502,40399,29.75099451,5.019381,11702.625,54.954456,40.58945,-74.1310375,62.29849733,0.0632,735.1360188,0.001150043,3
503,52600,23.37817342,3.323826,13289.83333,55.771591,40.54933333,-74.17916667,62.0124087,0.071744,943.1324991,0.00128639,3
